Homo_sapiens,Y,457010
Homo_sapiens,I,829220
Homo_sapiens,V,1223213
Homo_sapiens,G,1569593
Homo_sapiens,S,1773359
Homo_sapiens,L,1991471
Homo_sapiens,Q,1000156
Homo_sapiens,D,902547
Homo_sapiens,T,1156374
Homo_sapiens,M,450627
Homo_sapiens,E,1439917
Homo_sapiens,W,308899
Homo_sapiens,H,585041
Homo_sapiens,R,1293889
Homo_sapiens,N,692248
Homo_sapiens,A,1553625
Homo_sapiens,P,1432335
Homo_sapiens,X,1308
Homo_sapiens,F,671694
Homo_sapiens,C,496350
Homo_sapiens,K,1107314
Mus_musculus,Y,483455
Mus_musculus,I,822727
Mus_musculus,V,1212386
Mus_musculus,G,1414444
Mus_musculus,S,1726267
Mus_musculus,L,1937527
Mus_musculus,Q,974682
Mus_musculus,D,899403
Mus_musculus,T,1122616
Mus_musculus,M,446461
Mus_musculus,E,1769272
Mus_musculus,W,259453
Mus_musculus,H,543097
Mus_musculus,R,1229918
Mus_musculus,N,678709
Mus_musculus,A,1372693
Mus_musculus,P,1214251
Mus_musculus,X,1137
Mus_musculus,F,677789
Mus_musculus,C,475479
Mus_musculus,K,1291644
Pan_troglodytes,Y,404203
Pan_troglodytes,I,756392
Pan_troglodytes,V,1082126
Pan_troglodytes,G,1516519
Pan_troglodytes,S,1573042
Pan_troglodytes,L,1780436
Pan_troglodytes,Q,908463
Pan_troglodytes,D,802393
Pan_troglodytes,T,1006896
Pan_troglodytes,M,555772
Pan_troglodytes,E,1442470
Pan_troglodytes,W,421905
Pan_troglodytes,H,499163
Pan_troglodytes,R,1162115
Pan_troglodytes,N,817943
Pan_troglodytes,A,1370122
Pan_troglodytes,P,1258904
Pan_troglodytes,X,4264
Pan_troglodytes,F,598212
Pan_troglodytes,C,440640
Pan_troglodytes,K,1010123
Rattus_norvegicus,Y,490282
Rattus_norvegicus,I,829990
Rattus_norvegicus,V,1254400
Rattus_norvegicus,G,1356910
Rattus_norvegicus,S,1718841
Rattus_norvegicus,L,1946916
Rattus_norvegicus,Q,961907
Rattus_norvegicus,D,908833
Rattus_norvegicus,T,1142894
Rattus_norvegicus,M,449373
Rattus_norvegicus,E,1525704
Rattus_norvegicus,W,262044
Rattus_norvegicus,H,549807
Rattus_norvegicus,R,1192833
Rattus_norvegicus,N,690446
Rattus_norvegicus,A,1376124
Rattus_norvegicus,P,1200481
Rattus_norvegicus,X,2810
Rattus_norvegicus,F,689235
Rattus_norvegicus,C,482334
Rattus_norvegicus,K,1166311
Macaca_mulatta,Y,435931
Macaca_mulatta,I,755587
Macaca_mulatta,V,1148194
Macaca_mulatta,G,1382844
Macaca_mulatta,S,1637752
Macaca_mulatta,L,1881921
Macaca_mulatta,Q,935722
Macaca_mulatta,D,833798
Macaca_mulatta,T,1068635
Macaca_mulatta,M,409047
Macaca_mulatta,E,1270944
Macaca_mulatta,W,272175
Macaca_mulatta,H,539359
Macaca_mulatta,R,1171690
Macaca_mulatta,N,637291
Macaca_mulatta,A,1412892
Macaca_mulatta,P,1290251
Macaca_mulatta,X,43330
Macaca_mulatta,F,644266
Macaca_mulatta,C,474451
Macaca_mulatta,K,1038099
